label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
croplands,389.27958002944047,393.3549517893593,382.02882770400106,396.8202045830462,307.7522555704513,296.9661125145288,309.8576356890989,306.7327657487219,303.210929491637,315.7332245770623,331.2994858225864,332.36571300343235,342.29799779464423,424.0700372352032,410.9198004310278,422.1562151514629,465.82072358606683,479.1902422013825,455.6559520515711,452.56809661084935,494.099372547727,609.7476823266842,601.1477130592497
flooded,4022.109121699409,4466.111611747088,3950.3598594439804,3988.7307485521005,3598.188789268727,3442.0062934396774,3327.5602648628496,3349.454986736366,3992.342584485293,4426.130159749275,4476.29273768849,4599.831677839978,4516.615996022708,5091.3198335921925,5142.9640300548135,4940.724320007348,5260.0865029731995,5478.325323375529,5637.064287567136,5077.791301666831,4911.753667503709,4789.982023255613,4852.237124879243
forests_mangroves,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
forests_primary,8046.859351102057,7796.446767085846,8203.356057057075,7693.735353594779,7568.0901586876735,7395.850290037335,7111.586101518719,7425.574811715035,7244.954690876891,7071.118789099836,6916.9362754282,6901.961805658123,6893.80070102419,6789.065845540145,6849.132200579948,6593.037455300625,6567.008064179708,6376.0877229487605,6484.466257371032,6625.343937161286,6732.78134651015,6747.303192948736,7112.583261564626
forests_secondary,50313.600406407626,50125.84856431527,49813.95829091269,49925.85614653743,50262.9594960457,48067.99591958455,45801.4489519616,44936.90434087284,45085.85735409972,44327.76335390123,43138.635208018,43355.75296005386,42109.75774208255,40882.41781450893,40966.66579222781,41640.97305143104,39692.70037637775,39927.67507026691,37769.04859614575,37565.46061098927,37628.0660990773,37677.391206787375,38820.758978676175
grasslands,2.5655475708007813,2.0667068499875536,1.238509100341797,2.295617314165901,4.2462904846191405,1.4154823486328123,1.9463011291503902,0.35388023681640624,1.0615848876953122,1.061631805419922,1.7694300415039061,2.565696649169922,4.954183068847656,7.342606207275391,7.077185302734375,5.307782373046875,8.492681506347656,10.526193539656097,24.15305841064453,20.701403845214845,19.636560158739275,17.339318688964845,21.320445196533203
other,134.60313316834697,126.7064900260656,114.8255824616077,116.26559188079236,134.58637264093136,124.95105003135532,124.04874981864181,117.9346034798177,97.55578393226773,91.5670031335928,98.46834120488184,100.39806685333852,118.01999098237881,142.0473629241345,183.77384451286764,203.17804843752396,194.46784701076135,206.6932957858695,159.94575607563095,165.11876085377418,189.17865000713277,235.11175164411958,304.3982580264342
pastures,2504.523994219851,2445.021074061136,2276.8597086640475,2403.898396622003,2733.854435761934,3081.500899736519,3184.589678326798,3119.167726111892,3350.760909292734,3654.3152561774045,3900.088791869758,3929.493096812817,4527.878979214514,5102.4705397973175,5332.61581296363,5549.821349076193,5935.3093415957255,6216.24452731491,6553.073783667232,6462.213117563238,7153.196938716346,7151.353900999896,7195.7999621859435
settlements,4624.2852395958025,4833.444020255413,4913.744903316507,5047.771719850931,5271.214772507994,5406.179781952167,5360.887147278095,5385.297038482929,5422.263302172755,5571.235300990349,5649.60586882554,5646.683308943948,5729.920855343759,5810.014394699587,5865.74761734363,6106.729407401003,6151.670172226442,6150.974982603832,6157.078436704317,6304.725193628791,6294.967580157686,6240.127832997448,6223.139576936658
shrublands,193.18838463115614,193.75430744564278,179.9362906990799,180.22168727081896,288.36961418234426,307.9652441232,250.27476576344208,243.10654071461394,338.1189747267061,380.48916743932386,415.42129208536784,364.5087463165163,346.3962319174374,408.73117454154215,398.65208027434704,384.29212637709674,368.5723955362477,427.88604324781227,536.9140271018114,537.2843945877853,570.9066357439109,498.5199478426585,475.302401281068
wetlands,17717.101731730312,17565.361996579013,18111.80846079549,18192.521023948735,17778.85430500448,19823.285416386883,22475.91689380644,23063.58979605579,22111.990376189136,22108.70260328132,23019.59905917046,22714.55541802363,23358.47381270376,23290.63688110848,22790.568126464008,22101.89673459947,23303.988385162553,22674.513088870142,24170.71633505964,24736.90967324772,23953.529639732045,23981.23963266327,22341.428768348847
