start,croplands,flooded,forests_mangroves,forests_primary,forests_secondary,grasslands,other,pastures,settlements,shrublands,wetlands
croplands,1521192.4041319604,2653.5704956054688,0,0.0,1787725.0285476984,0.0,0.0,537872.2506713867,6192.4962158203125,11500.734130859375,25659.31610107422
flooded,27201.848178519453,17997815.040100336,0,884.7841186523438,2346808.911236453,0.0,132474.72929759306,271616.0756225586,184904.58532714844,253917.68676757812,19005467.55634527
forests_mangroves,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forests_primary,0.0,0.0,0,65016478.34159147,0.0,0.0,95546.26470947266,884.6912841796875,0.0,0.0,15355684.213435395
forests_secondary,3033424.906882611,11376548.308776611,0,0.0,337491074.41914684,116725.55013619218,780322.5841445025,51363666.32942804,15728219.638870778,3615104.2991943355,79630918.027496
grasslands,0.0,0.0,0,0.0,884.6936645507812,0.0,0.0,4423.349914550781,19462.78387451172,884.6482543945312,0.0
other,0.0,394877.3902688419,0,49539.042419433594,101733.00561523438,0.0,31474.21048368566,39811.98791503906,224708.40673828125,7077.2122802734375,496810.07596268004
pastures,133583.66827392578,410483.50579833984,0,0.0,5741506.329195867,49539.98034667969,93772.9814453125,13636009.35228032,4263096.640869141,275785.8730880438,441461.6109008789
settlements,24770.414489746094,35385.58947753906,0,0.0,717461.1625976562,13269.698669433594,37156.333984375,3942075.7018432617,41348880.520225614,86696.46295166016,37156.51171875
shrublands,7076.780578613281,150390.53211454503,0,0.0,497105.9675209195,884.6512451171875,16810.619079589844,498829.06746036303,152162.02423095703,367993.18908691406,240631.01499454273
wetlands,193743.70294189453,18749382.738005284,0,2260911.2969719386,27596361.47324769,15945.721189970129,704228.7769267962,1236780.5807437673,1022048.7052246094,1090106.2516850492,124301508.07036611
